method,lambda,cost,performance
CARROT-Linear,4.6464646464646464e-05,1517.3324184694866,0.7690829835324507
MIRT,4.6464646464646464e-05,1219.7698417823701,0.745770100096868
CoRE,4.7474747474747476e-05,1371.37200516629,0.7700193735873426
CARROT-Linear,4.7474747474747476e-05,1494.448369389732,0.7681788827897966
MIRT,4.7474747474747476e-05,1189.0500968679366,0.742815628027123
CoRE,4.848484848484848e-05,1353.6945350339038,0.7690184049079755
CARROT-Linear,4.848484848484848e-05,1478.7371649983854,0.7667097190829836
MIRT,4.848484848484848e-05,1166.9654181465933,0.741443332257023
CoRE,4.949494949494949e-05,1336.1740958992573,0.7675330965450436
CARROT-Linear,4.949494949494949e-05,1461.830440749112,0.76675815305134
MIRT,4.949494949494949e-05,1149.1820309977397,0.7403132063287052
CoRE,5.0505050505050505e-05,1322.1768162738133,0.7671133354859542
CARROT-Linear,5.0505050505050505e-05,1445.645398773006,0.7659186309331611
MIRT,5.0505050505050505e-05,1127.213182111721,0.738957055214724
CoRE,5.151515151515152e-05,1302.3101388440425,0.7663061026800129
CARROT-Linear,5.151515151515152e-05,1426.1258153051342,0.764820794317081
MIRT,5.151515151515152e-05,1101.1786083306424,0.736745237326445
CoRE,5.252525252525252e-05,1287.6637713916693,0.7652567000322893
CARROT-Linear,5.252525252525252e-05,1407.6131094607688,0.7640135615111399
MIRT,5.252525252525252e-05,1075.2129883758475,0.7339360671617694
CoRE,5.3535353535353534e-05,1267.4003551824346,0.7633516306102681
CARROT-Linear,5.3535353535353534e-05,1390.3238940910558,0.7630287374878915
MIRT,5.3535353535353534e-05,1052.7945834678721,0.7328220858895707
CoRE,5.4545454545454546e-05,1244.3499515660317,0.7619954794962868
CARROT-Linear,5.4545454545454546e-05,1374.5922182757506,0.7621892153697126
MIRT,5.4545454545454546e-05,1019.112495963836,0.7306264126574104
CoRE,5.555555555555556e-05,1230.7221181788827,0.7608976428802067
CARROT-Linear,5.555555555555556e-05,1358.666548272522,0.7620923474329996
MIRT,5.555555555555556e-05,992.8971746851792,0.7278818211172102
CoRE,5.6565656565656563e-05,1212.6024216984176,0.7601711333548595
CARROT-Linear,5.6565656565656563e-05,1340.7677510494027,0.7606393283823054
MIRT,5.6565656565656563e-05,965.9632144010333,0.7260090410074266
CoRE,5.7575757575757575e-05,1192.8788827897968,0.7595737810784631
CARROT-Linear,5.7575757575757575e-05,1329.1546496609624,0.760590894413949
MIRT,5.7575757575757575e-05,940.9640700678075,0.7241362608976427
CoRE,5.858585858585859e-05,1171.166314175008,0.758120762027769
CARROT-Linear,5.858585858585859e-05,1312.0090732967387,0.7588957055214725
MIRT,5.858585858585859e-05,922.7691717791411,0.722102034226671
CoRE,5.959595959595959e-05,1151.8492492734904,0.756813044882144
CARROT-Linear,5.959595959595959e-05,1294.2988133677752,0.758556667742977
MIRT,5.959595959595959e-05,907.9347836616081,0.7207620277688085
CoRE,6.0606060606060605e-05,1133.9783015821763,0.7553277365192121
CARROT-Linear,6.0606060606060605e-05,1276.8564497901193,0.7573538908621247
MIRT,6.0606060606060605e-05,889.6618582499194,0.7190184049079755
CoRE,6.161616161616162e-05,1114.4166612851145,0.7537859218598644
CARROT-Linear,6.161616161616162e-05,1261.3193412980304,0.7566273813367775
MIRT,6.161616161616162e-05,867.5306587019695,0.7173716499838554
CoRE,6.262626262626262e-05,1094.0856393283823,0.7524782047142395
CARROT-Linear,6.262626262626262e-05,1250.21821924443,0.7553358088472716
MIRT,6.262626262626262e-05,844.8118743945754,0.71593477558928
CoRE,6.363636363636364e-05,1070.3534549564095,0.7503955440749112
CARROT-Linear,6.363636363636364e-05,1238.3031239909592,0.7543832741362608
MIRT,6.363636363636364e-05,822.5294317081045,0.7134646432030998
CoRE,6.464646464646465e-05,1047.5439457539555,0.7493299967710688
CARROT-Linear,6.464646464646465e-05,1223.162657410397,0.7538343558282209
MIRT,6.464646464646465e-05,803.0161446561189,0.7119470455279301
CoRE,6.565656565656565e-05,1027.8445511785599,0.7485066193090087
CARROT-Linear,6.565656565656565e-05,1210.648764933807,0.7530594123345173
MIRT,6.565656565656565e-05,783.4816758153052,0.7109299321924443
CoRE,6.666666666666667e-05,1007.3544155634485,0.7473442040684533
CARROT-Linear,6.666666666666667e-05,1198.9429124959638,0.7519131417500807
MIRT,6.666666666666667e-05,767.2933887633193,0.7089602841459477
CoRE,6.767676767676768e-05,983.5681304488214,0.7460203422667098
CARROT-Linear,6.767676767676768e-05,1179.5725056506296,0.7500887956086536
MIRT,6.767676767676768e-05,756.6434614142718,0.7077817242492734
CoRE,6.868686868686868e-05,967.7619470455279,0.7435663545366483
CARROT-Linear,6.868686868686868e-05,1170.873248304811,0.7498143364546336
MIRT,6.868686868686868e-05,736.8798756861478,0.705618340329351
CoRE,6.96969696969697e-05,948.7672989990314,0.7417904423635776
CARROT-Linear,6.96969696969697e-05,1156.8172828543752,0.7493945753955442
MIRT,6.96969696969697e-05,721.2727236034873,0.7040361640297064
CoRE,7.07070707070707e-05,927.1842589602843,0.7400306748466258
CARROT-Linear,7.07070707070707e-05,1137.850282531482,0.7481514368743944
MIRT,7.07070707070707e-05,704.907886664514,0.7022763965127544
CoRE,7.171717171717172e-05,913.2792864061996,0.739546335163061
CARROT-Linear,7.171717171717172e-05,1124.3320229254116,0.7469082983532451
MIRT,7.171717171717172e-05,690.4877058443655,0.700936390054892
CoRE,7.272727272727273e-05,896.8325637713917,0.7381256054246045
CARROT-Linear,7.272727272727273e-05,1114.6047303842429,0.7464078140135615
MIRT,7.272727272727273e-05,675.7663868259606,0.7003874717468518
CoRE,7.373737373737373e-05,886.2691152728447,0.7374313852114951
CARROT-Linear,7.373737373737373e-05,1103.3044074911204,0.7451485308362932
MIRT,7.373737373737373e-05,661.6602034226671,0.6987568614788505
CoRE,7.474747474747475e-05,875.8512431385211,0.7364788505004843
CARROT-Linear,7.474747474747475e-05,1088.525282531482,0.7441959961252825
MIRT,7.474747474747475e-05,656.4117048756862,0.698337100419761
CoRE,7.575757575757576e-05,858.805707135938,0.7347836616080078
CARROT-Linear,7.575757575757576e-05,1074.1633354859541,0.7427106877623507
MIRT,7.575757575757576e-05,646.0781804972554,0.6971585405230868
CoRE,7.676767676767676e-05,840.0976993865031,0.7338311268969971
CARROT-Linear,7.676767676767676e-05,1059.1292864061998,0.7424685179205683
MIRT,7.676767676767676e-05,637.8008798837584,0.6960122699386504
CoRE,7.777777777777778e-05,820.8741766225379,0.7320390700678076
CARROT-Linear,7.777777777777778e-05,1039.0460607039072,0.7403374233128835
MIRT,7.777777777777778e-05,625.0736680658702,0.6944139489828868
CoRE,7.878787878787879e-05,802.3517597675169,0.7305214723926381
CARROT-Linear,7.878787878787879e-05,1024.0340410074266,0.738448498546981
MIRT,7.878787878787879e-05,612.9924927349048,0.6936551501453019
CoRE,7.979797979797979e-05,784.6962786567647,0.7291007426541815
CARROT-Linear,7.979797979797979e-05,1005.8148369389731,0.7365757184371974
MIRT,7.979797979797979e-05,602.1071278656764,0.692347432999677
CoRE,8.080808080808081e-05,763.6516063932838,0.7278091701646755
CARROT-Linear,8.080808080808081e-05,989.0612124636745,0.735687762350662
MIRT,8.080808080808081e-05,596.6889005489182,0.6917662253793995
CoRE,8.181818181818182e-05,752.1400548918308,0.7266628995802391
CARROT-Linear,8.181818181818182e-05,965.6790361640298,0.7330400387471748
MIRT,8.181818181818182e-05,584.356247981918,0.6905230868582499
CoRE,8.282828282828282e-05,734.6008798837585,0.7244187923797223
CARROT-Linear,8.282828282828282e-05,949.9690668388764,0.7327978689053924
MIRT,8.282828282828282e-05,576.39292864062,0.6893606716176944
CoRE,8.383838383838384e-05,720.0671456247983,0.7220455279302551
CARROT-Linear,8.383838383838384e-05,930.0792298999031,0.7312641265741039
MIRT,8.383838383838384e-05,565.3352599289635,0.6877946399741686
CoRE,8.484848484848485e-05,704.7208508233775,0.7210607039070068
CARROT-Linear,8.484848484848485e-05,916.5234339683566,0.7301178559896675
MIRT,8.484848484848485e-05,558.6884000645787,0.6869551178559896
CoRE,8.585858585858586e-05,695.4711737164998,0.7193655150145302
CARROT-Linear,8.585858585858586e-05,894.1355828220859,0.7283742331288345
MIRT,8.585858585858586e-05,552.299321924443,0.6858734258960283
CoRE,8.686868686868687e-05,685.1272198902163,0.7185098482402325
CARROT-Linear,8.686868686868687e-05,876.7398611559572,0.7265983209557637
MIRT,8.686868686868687e-05,546.4763965127543,0.6851469163706814
CoRE,8.787878787878787e-05,670.5352114949952,0.7176541814659347
CARROT-Linear,8.787878787878787e-05,862.6061349693252,0.7258072328059413
MIRT,8.787878787878787e-05,541.1753713270907,0.6845495640942848
CoRE,8.888888888888889e-05,663.2953987730061,0.7167662253793994
CARROT-Linear,8.888888888888889e-05,852.4792379722311,0.7248546980949305
MIRT,8.888888888888889e-05,537.0148369389732,0.6842589602841458
CoRE,8.98989898989899e-05,654.539409105586,0.7159751372295771
CARROT-Linear,8.98989898989899e-05,839.7546658056184,0.7224975783015822
MIRT,8.98989898989899e-05,531.4435340652244,0.6838391992250564
CoRE,9.09090909090909e-05,638.3781804972555,0.7145544074911204
CARROT-Linear,9.09090909090909e-05,822.7611236680659,0.7206409428479172
MIRT,9.09090909090909e-05,529.3585243784307,0.6837584759444625
CoRE,9.191919191919192e-05,628.9802066515983,0.7138117533096545
CARROT-Linear,9.191919191919192e-05,807.8679770745883,0.7200920245398773
MIRT,9.191919191919192e-05,523.9774862770423,0.6835001614465611
CoRE,9.292929292929293e-05,620.6349047465288,0.7128107846302874
CARROT-Linear,9.292929292929293e-05,790.6388763319341,0.7181062318372619
MIRT,9.292929292929293e-05,519.5641911527284,0.6833710041976107
CoRE,9.393939393939393e-05,610.8974491443332,0.7118098159509204
CARROT-Linear,9.393939393939393e-05,779.5615192121408,0.7177994833710042
MIRT,9.393939393939393e-05,512.8807797868906,0.6822731675815306
CoRE,9.494949494949495e-05,601.297965773329,0.711099451081692
CARROT-Linear,9.494949494949495e-05,764.1255731352924,0.7168469486599934
MIRT,9.494949494949495e-05,508.72299806264124,0.6818372618663223
CoRE,9.595959595959596e-05,594.3231756538586,0.7100177591217308
